coursecode,sublist,techel
CSCI042,0,n
CSCI060,0,n
MATH055,1,n
CSCI070,2,n
CSCI081,3,n
CSCI105,4,n
CSCI123,5,n
CSCI140,6,n
CSCI183,7,n
CSCI184,8,n
CSCI195,9,n
CSCI195,10,n
CSCI195,11,n
CSCI195,12,n
BIOL188,13,y
ENGR085,13,y
ENGR151,13,y
ENGR155,13,y
ENGR205,13,y
MATH104,13,y
MATH106,13,y
MATH157,13,y
MATH164,13,y
MATH165,13,y
MATH167,13,y
MATH187,13,y
MCBI118,13,y
PHYS084,13,y
PHYS170,13,y
PSYC183,13,y
CSCI111,13,y
CSCI121,13,y
CSCI124,13,y
CSCI125,13,y
CSCI131,13,y
CSCI132,13,y
CSCI133,13,y
CSCI134,13,y
CSCI137,13,y
CSCI142,13,y
CSCI144,13,y
CSCI145,13,y
CSCI151,13,y
CSCI152,13,y
CSCI153,13,y
CSCI155,13,y
CSCI158,13,y
CSCI159,13,y
